month,gc_id,fmv,segment,manufacturer,model_name,model_number,condition,region,launch_year,thermalDesignPower,capacity,type,clockSpeed,fill_method,gap_filled,is_synthetic,capacity_gb,tdp_w,clock_mhz,gpu_tier_flag,gpu_type_enc,manufacturer_enc,condition_enc,fmv_lag_1m,fmv_lag_2m,fmv_lag_3m,fmv_lag_6m,fmv_lag_12m,roll_mean_3m,roll_std_3m,roll_mean_6m,roll_std_6m,roll_mean_12m,roll_std_12m,mom_1m,mom_3m,mom_6m,mom_12m,vol_ratio_3_6,pct_from_roll_mean_12,trend_slope_pct,trend_r2,month_sin,month_cos,months_elapsed,fmv_lead_4m,ea2_ai_demand_index,ea2_major_gpu_launch,ea2_datacenter_expansion,ea1_supply_pressure_index,ea3_new_export_control,ea3_new_tariff_action,ea3_policy_risk_index,ea1_dram_shortage_active
2022-10-01,191441,31.072777236032877,GPU,Nvidia,GRID,K1,Used,US,,,16GB,GDDR3,,bootstrap,True,True,16.0,,,1,1,1,2,32.93280399321836,36.85701150906269,36.07844860910321,45.4480938431501,,35.28942137046142,2.0776848038962608,38.32851856248095,4.6686571182947265,,,-5.647945305745916,-13.874408590305398,-31.630185980360658,,0.4450283563885188,,-6.411136,0.736378,-0.8660254037844386,0.5000000000000001,10.0,24.903934706090453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-11-01,191441,29.581296521819635,GPU,Nvidia,GRID,K1,Used,US,,,16GB,GDDR3,,bootstrap,True,True,16.0,,,1,1,1,2,31.072777236032877,32.93280399321836,36.85701150906269,42.48618388608614,,33.62086424610464,2.9528650011513964,35.93263246129475,3.9114602184117477,42.17882694890045,10.451422464924557,-4.7999594721893075,-19.740382329842564,-30.37431509232992,,0.7549265073058599,-29.866953014939686,-6.23557,0.759865,-0.5000000000000004,0.8660254037844384,11.0,26.51808323959377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-01,191441,29.79541790463415,GPU,Nvidia,GRID,K1,Used,US,,,16GB,GDDR3,,bootstrap,True,True,16.0,,,1,1,1,2,29.581296521819635,31.072777236032877,32.93280399321836,36.168569534265245,65.07359305731212,31.195625917023623,1.6791275804793826,33.78181790058367,3.0374995470739004,41.129032746643716,10.607867037162997,0.7238404261847631,-9.526629099758011,-17.62069031674953,-54.21273591210417,0.5527992858787184,-27.556239680677713,-5.007043,0.758646,-2.4492935982947064e-16,1.0,12.0,26.08883857637402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-01,191441,24.778805052813254,GPU,Nvidia,GRID,K1,Used,US,,,16GB,GDDR3,,bootstrap,True,True,16.0,,,1,1,1,2,29.79541790463415,29.581296521819635,31.072777236032877,36.07844860910321,57.41226208400512,30.14983055416222,0.8064334596400342,32.71962596231182,3.1482474101257427,38.18918481725388,7.915414539193033,-16.83686017721755,-20.255582999259403,-31.319649241899118,-56.84057002220688,0.25615314001253314,-35.115648130781295,-4.381642,0.84089,0.49999999999999994,0.8660254037844387,13.0,24.07631922668319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-02-01,191441,24.903934706090453,GPU,Nvidia,GRID,K1,Used,US,,,16GB,GDDR3,,bootstrap,True,True,16.0,,,1,1,1,2,24.778805052813254,29.79541790463415,29.581296521819635,36.85701150906269,42.1074178210627,28.05183982642235,2.836552390417951,30.83635203626349,4.001298085315498,35.46973006465456,6.110780612281303,0.5049866327714314,-15.811889151914238,-32.43094410959802,-40.85618165445146,0.708908041824705,-29.788203460541357,-4.873707,0.867347,0.8660254037844386,0.5000000000000001,14.0,49.27694097192841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-01,191441,26.51808323959377,GPU,Nvidia,GRID,K1,Used,US,,,16GB,GDDR3,,bootstrap,True,True,16.0,,,1,1,1,2,24.903934706090453,24.778805052813254,29.79541790463415,32.93280399321836,38.3299348646064,26.492719221179286,2.860905154457889,28.844172569101456,3.3221827930860792,34.036106471740204,6.422063178388308,6.481500022197562,-10.999458626591863,-19.478210100013126,-30.81625801540199,0.8611522401512124,-22.088376173075385,-5.303196,0.915047,1.0,6.123233995736766e-17,14.9,43.57020601386445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-04-01,191441,26.08883857637402,GPU,Nvidia,GRID,K1,Used,US,,,16GB,GDDR3,,bootstrap,True,True,16.0,,,1,1,1,2,26.51808323959377,24.903934706090453,24.778805052813254,31.072777236032877,45.4480938431501,25.400274332832492,0.9700705755557387,27.77505244349736,2.7210354698948387,33.051785502989155,6.606669549896005,-1.6186866122316568,5.286911619703116,-16.039566150782747,-42.59640752720786,0.3565078758761015,-21.06677996559495,-4.634882,0.883372,0.8660254037844387,-0.4999999999999998,16.0,25.54001816522972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-05-01,191441,24.07631922668319,GPU,Nvidia,GRID,K1,Used,US,,,16GB,GDDR3,,bootstrap,True,True,16.0,,,1,1,1,2,26.08883857637402,26.51808323959377,24.903934706090453,29.581296521819635,42.48618388608614,25.836952174019416,0.8360346534813321,26.94439600022088,2.229284987612146,31.438514230757814,5.589855641505557,-7.714100970034599,-3.323231807240745,-18.60965522953292,-43.33141500484825,0.3750236771552631,-23.4177574361063,-4.140308,0.885293,0.49999999999999994,-0.8660254037844387,17.0,52.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-06-01,191441,49.27694097192841,GPU,Nvidia,GRID,K1,Used,US,,,16GB,GDDR3,,bootstrap,True,True,16.0,,,1,1,1,2,24.07631922668319,26.08883857637402,26.51808323959377,29.79541790463415,36.168569534265245,25.561080347550327,1.3036293318099355,26.026899784364804,2.052821568544222,29.904358842474238,4.744553474742012,104.66974419127983,85.82391693511889,65.38429207352804,36.242438134703136,0.6350426904050976,64.78180064485647,-0.671995,0.010897,1.2246467991473532e-16,-1.0,18.0,78.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-07-01,191441,43.57020601386445,GPU,Nvidia,GRID,K1,Used,US,,,16GB,GDDR3,,bootstrap,True,True,16.0,,,1,1,1,2,49.27694097192841,24.07631922668319,26.08883857637402,24.778805052813254,36.07844860910321,33.14736625832854,14.004818594484556,29.273820295580517,9.8405092502887,30.99672312894617,7.194417977473532,-11.580944038946972,67.00707425635079,75.836590670936,20.76518723388494,1.4231802682441137,40.563910038531084,1.601107,0.052593,-0.4999999999999997,-0.8660254037844388,19.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-08-01,191441,25.54001816522972,GPU,Nvidia,GRID,K1,Used,US,,,16GB,GDDR3,,bootstrap,True,True,16.0,,,1,1,1,2,43.57020601386445,49.27694097192841,24.07631922668319,24.903934706090453,36.85701150906269,38.97448873749202,13.21394328162462,32.40572045575572,11.040894913171643,31.621036246009606,7.959828035856872,-41.38192011967388,6.079413239065001,2.554148437370052,-30.705130124427626,1.196818137075153,-19.230925999609752,1.663736,0.053536,-0.8660254037844384,-0.5000000000000004,20.0,43.63636364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-09-01,191441,52.7,GPU,Nvidia,GRID,K1,Used,US,,,16GB,GDDR3,,akima,False,False,16.0,,,1,1,1,2,25.54001816522972,43.57020601386445,49.27694097192841,26.51808323959377,32.93280399321836,39.462388383674195,12.390157397909409,32.51173436561226,10.957193502281978,30.677953467356858,7.9534896193678595,106.34284462548264,6.94657371288856,98.73231230119373,60.02281497455297,1.1307783690530788,71.7846011340877,4.516273,0.266607,-1.0,-1.8369701987210297e-16,21.0,23.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-10-01,191441,78.2,GPU,Nvidia,GRID,K1,Used,US,,,16GB,GDDR3,,akima,False,False,16.0,,,1,1,1,2,52.7,25.54001816522972,43.57020601386445,26.08883857637402,31.072777236032877,40.60340805969806,13.820910639024369,36.8753871590133,13.097281157005757,32.32521980125533,10.194304624168133,48.38709677419355,79.48044582372648,199.7450414324603,151.6672372282097,1.0552503587075812,141.91637514236842,8.737002,0.468675,-0.8660254037844386,0.5000000000000001,22.0,25.58333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-11-01,191441,47.0,GPU,Nvidia,GRID,K1,Used,US,,,16GB,GDDR3,,akima,False,False,16.0,,,1,1,1,2,78.2,52.7,25.54001816522972,24.07631922668319,29.581296521819635,52.14667272174324,26.334351140995103,45.560580729617634,19.982353917929164,36.25248836491925,16.68153006914025,-39.89769820971867,84.02492784435832,95.21256367090807,58.88417860701964,1.317880328271366,29.646272903795712,8.692729,0.494448,-0.5000000000000004,0.8660254037844384,23.0,28.62227273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-12-01,191441,43.63636364,GPU,Nvidia,GRID,K1,Used,US,,,16GB,GDDR3,,akima,False,False,16.0,,,1,1,1,2,47.0,78.2,52.7,49.27694097192841,29.79541790463415,59.300000000000004,16.614150595200417,49.381194191837096,17.02579368282264,37.70404698810095,16.805647958686368,-7.156673106382982,-17.198550967741944,-11.446687275376288,46.45326935727636,0.9758223848302866,15.733898946633593,8.096755,0.462064,-2.4492935982947064e-16,1.0,24.0,21.235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-01,191441,23.5,GPU,Nvidia,GRID,K1,Used,US,,,16GB,GDDR3,,akima,False,False,16.0,,,1,1,1,2,43.63636364,47.0,78.2,43.57020601386445,24.778805052813254,56.27878788,19.058676973969185,48.44109796984903,17.187657062823302,38.85745913271477,16.68807273691636,-46.14583333782117,-69.94884910485933,-46.06406039824077,-5.160882657931342,1.10885834551545,-39.522551076390535,4.943326,0.169219,0.49999999999999994,0.8660254037844387,25.0,23.47821595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-01,191441,25.58333333,GPU,Nvidia,GRID,K1,Used,US,,,16GB,GDDR3,,akima,False,False,16.0,,,1,1,1,2,23.5,43.63636364,47.0,25.54001816522972,24.903934706090453,38.04545454666667,12.708508896303977,45.09606363420496,20.04133242976127,38.75089204498034,16.789921923528304,8.865248212765952,-45.567375893617026,0.16959723556206896,2.728077438074039,0.6341149691939599,-33.980014446366845,2.009228,0.028205,0.8660254037844386,0.5000000000000001,26.0,25.91983043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-01,191441,28.62227273,GPU,Nvidia,GRID,K1,Used,US,,,16GB,GDDR3,,akima,False,False,16.0,,,1,1,1,2,25.58333333,23.5,43.63636364,52.7,26.51808323959377,30.906565656666668,11.073431580288464,45.103282828333334,20.032885187313546,38.8075085969728,16.740055853984817,11.878590490147056,-34.407291665882724,-45.688287039848205,7.934923016096773,0.5527626937781814,-26.245528855638277,-0.437676,0.001372,1.0,6.123233995736766e-17,27.0,26.20848182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-01,191441,21.235,GPU,Nvidia,GRID,K1,Used,US,,,16GB,GDDR3,,akima,False,False,16.0,,,1,1,1,2,28.62227273,25.58333333,23.5,78.2,26.08883857637402,25.901868686666663,2.575949933560489,41.090328283333335,20.610061628409,38.98285772117331,16.610139992313645,-25.809525329053074,-9.638297872340429,-72.84526854219949,-18.60503894094252,0.12498506700289476,-45.52733883214946,-3.7309,0.093111,0.8660254037844387,-0.4999999999999998,28.0,24.73154311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-01,191441,23.47821595,GPU,Nvidia,GRID,K1,Used,US,,,16GB,GDDR3,,akima,False,False,16.0,,,1,1,1,2,21.235,28.62227273,25.58333333,47.0,24.07631922668319,25.146868686666664,3.7129268287309833,31.596161616666663,10.955768560786453,38.57837117314215,17.007035089207616,10.563767129738633,-8.22847184472032,-50.046349042553196,-2.4841973187509803,0.338901539232995,-39.14150536675513,-6.954015,0.32086,0.49999999999999994,-0.8660254037844387,29.0,19.93224022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-01,191441,25.91983043,GPU,Nvidia,GRID,K1,Used,US,,,16GB,GDDR3,,akima,False,False,16.0,,,1,1,1,2,23.47821595,21.235,28.62227273,43.63636364,49.27694097192841,24.445162893333332,3.787372359600589,27.675864275,8.20432497177203,38.528529233418546,17.054210448552418,10.399488978207483,-9.441746032862985,-40.60038860286663,-47.39967636228526,0.4616311972808855,-32.72561671646194,-7.314138,0.320197,1.2246467991473532e-16,-1.0,30.0,20.58524286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-01,191441,26.20848182,GPU,Nvidia,GRID,K1,Used,US,,,16GB,GDDR3,,akima,False,False,16.0,,,1,1,1,2,25.91983043,23.47821595,21.235,23.5,43.57020601386445,23.54434879333333,2.3431152776141646,24.72310874,2.5529694318574103,36.58210335492451,17.04884714968833,1.113631475250343,23.421152907935006,11.525454553191494,-39.8476981916032,0.9177999737777641,-28.3570942716941,-7.846839,0.33642,-0.4999999999999997,-0.8660254037844388,31.0,21.81778235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-01,191441,24.73154311,GPU,Nvidia,GRID,K1,Used,US,,,16GB,GDDR3,,akima,False,False,16.0,,,1,1,1,2,26.20848182,25.91983043,23.47821595,25.58333333,25.54001816522972,25.202176066666667,1.4999529223045875,25.17452237666667,2.5328228192553977,35.13529300543581,17.13835253352473,-5.635346297979494,5.338255524479063,-3.3294731730722393,-3.1655226319704854,0.592206020453316,-29.610539732303465,-10.246696,0.568633,-0.8660254037844384,-0.5000000000000004,32.0,22.85690199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-01,191441,19.93224022,GPU,Nvidia,GRID,K1,Used,US,,,16GB,GDDR3,,akima,False,False,16.0,,,1,1,1,2,24.73154311,26.20848182,25.91983043,28.62227273,52.7,25.619951786666665,0.7828041829343441,25.03255734,2.5291950092478404,35.067920084166666,17.18103776762614,-19.405594178470164,-23.10042199608634,-30.361084851559227,-62.17791229601518,0.309507246405307,-43.16104242236054,-10.433738,0.529256,-1.0,-1.8369701987210297e-16,33.0,24.13779122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-01,191441,20.58524286,GPU,Nvidia,GRID,K1,Used,US,,,16GB,GDDR3,,akima,False,False,16.0,,,1,1,1,2,19.93224022,24.73154311,26.20848182,21.235,78.2,23.624088383333333,3.2814088642083,23.584218588333332,2.5504981583960027,32.33727343583333,16.721760552900992,3.276112633565287,-21.455798159620365,-3.0598405462679445,-73.67616002557544,1.2865756649955646,-36.34205771600632,-6.323778,0.519977,-0.8660254037844386,0.5000000000000001,34.0,21.80713564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-01,191441,21.81778235,GPU,Nvidia,GRID,K1,Used,US,,,16GB,GDDR3,,akima,False,False,16.0,,,1,1,1,2,20.58524286,19.93224022,24.73154311,23.47821595,47.0,21.749675396666664,2.6029318867051785,23.475925731666667,2.6806666210641867,27.536043674166667,8.706783582817113,5.987490642604931,-11.78155664222118,-7.072230716065109,-53.579186489361696,0.9710017151151199,-20.766459378953318,-4.232039,0.381065,-0.5000000000000004,0.8660254037844384,35.0,23.87557364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-01,191441,22.85690199,GPU,Nvidia,GRID,K1,Used,US,,,16GB,GDDR3,,akima,False,False,16.0,,,1,1,1,2,21.81778235,20.58524286,19.93224022,25.91983043,43.63636364,20.77842181,0.9574997968896027,23.199186798333333,2.764771067273692,25.43752553666667,6.287769225572805,4.762718883754924,14.673020883349563,-11.816930856364404,-47.619599610615026,0.346321548363779,-10.144947247116683,-1.470355,0.233593,-2.4492935982947064e-16,1.0,36.0,24.17292564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-01,191441,24.13779122,GPU,Nvidia,GRID,K1,Used,US,,,16GB,GDDR3,,akima,False,False,16.0,,,1,1,1,2,22.85690199,21.81778235,20.58524286,26.20848182,23.5,21.75330906666667,1.1372011272971654,22.688698725000005,2.4236940381806646,23.7059037325,2.600283216759156,5.6039494353189,17.257743249185054,-7.900841468885966,2.714005191489366,0.4692016027529615,1.8218562446446447,-1.436543,0.223643,0.49999999999999994,0.8660254037844387,37.0,24.53329181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-02-01,191441,21.80713564,GPU,Nvidia,GRID,K1,Used,US,,,16GB,GDDR3,,akima,False,False,16.0,,,1,1,1,2,24.13779122,22.85690199,21.81778235,24.73154311,25.58333333,22.93749185333333,1.1621021184791331,22.343583625000004,1.9166550750352545,23.759053000833333,2.602209431845841,-9.655629045580927,-0.0487983142796522,-11.824605755463525,-14.760381852086047,0.6063178156652719,-8.215467850359492,-1.42235,0.21552,0.8660254037844386,0.5000000000000001,38.0,28.19595357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-01,191441,23.87557364,GPU,Nvidia,GRID,K1,Used,US,,,16GB,GDDR3,,akima,False,False,16.0,,,1,1,1,2,21.80713564,24.13779122,22.85690199,19.93224022,28.62227273,22.93394295,1.1672361972987875,21.856182380000003,1.5184136116444544,23.44436986,2.589842222531982,9.485143001568463,4.4567354335494525,19.783694037779355,-16.583934947362934,0.7687208467755113,1.8392636806831224,-0.353671,0.020987,1.0,6.123233995736766e-17,39.0,27.25556016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-04-01,191441,24.17292564,GPU,Nvidia,GRID,K1,Used,US,,,16GB,GDDR3,,akima,False,False,16.0,,,1,1,1,2,23.87557364,21.80713564,24.13779122,20.58524286,21.235,23.273500166666665,1.2766590024806832,22.513404616666666,1.3647447157516228,23.0488116025,2.028832460073308,1.2454234795926666,0.14555772597322214,17.428420953786095,13.835298516599948,0.9354562708657003,4.877101938644301,-0.518287,0.049004,0.8660254037844387,-0.4999999999999998,40.0,24.483620972006516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-05-01,191441,24.53329181,GPU,Nvidia,GRID,K1,Used,US,,,16GB,GDDR3,,akima,False,False,16.0,,,1,1,1,2,24.17292564,23.87557364,21.80713564,21.81778235,23.47821595,23.28521164,1.288656684034945,23.111351746666667,1.1138759662746933,23.293638739166667,1.9663581607372629,1.4907842574243046,12.501211598828776,12.44631290402436,4.493850223743268,1.1569121904522257,5.321852393756508,-0.276538,0.013605,0.49999999999999994,-0.8660254037844387,41.0,21.67151157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-06-01,191441,28.19595357,GPU,Nvidia,GRID,K1,Used,US,,,16GB,GDDR3,,akima,False,False,16.0,,,1,1,1,2,24.53329181,24.17292564,23.87557364,22.85690199,25.91983043,24.193930363333333,0.3293618019574646,23.563936656666666,1.0318131125725754,23.3815617275,1.9986839794319273,14.929353094422758,18.09539739293151,23.358596813933307,8.781396723049472,0.3192068388589102,20.590548649441153,1.000736,0.132072,1.2246467991473532e-16,-1.0,42.0,18.94029947103197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-07-01,191441,27.25556016,GPU,Nvidia,GRID,K1,Used,US,,,16GB,GDDR3,,akima,False,False,16.0,,,1,1,1,2,28.19595357,24.53329181,24.17292564,24.13779122,26.20848182,25.634057006666666,2.2259720225183237,24.45377858666667,2.0749921541829717,23.57123865583333,2.3402786723603546,-3.3352069745233304,12.75242627189086,12.916546139551865,3.9951888369244015,1.0727616574506038,15.630580802145873,2.102691,0.529975,-0.4999999999999997,-0.8660254037844388,43.0,18.70964157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-08-01,191441,24.483620972006516,GPU,Nvidia,GRID,K1,Used,US,,,16GB,GDDR3,,akima,True,False,16.0,,,1,1,1,2,27.25556016,28.19595357,24.53329181,21.80713564,24.73154311,26.661601846666667,1.9021994244885865,24.97340674333333,2.3519359532596535,23.658495184166668,2.4638062926668396,-10.17017875149584,-0.20246299753887698,12.273438273558224,-1.0024531703937134,0.80878028241043,3.4876511858288426,2.445129,0.720534,-0.8660254037844384,-0.5000000000000004,44.0,22.7304331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-09-01,191441,21.67151157,GPU,Nvidia,GRID,K1,Used,US,,,16GB,GDDR3,,akima,False,False,16.0,,,1,1,1,2,24.483620972006516,27.25556016,28.19595357,23.87557364,19.93224022,26.64504490066884,1.9299999976523874,25.419487632001083,1.8264009465481472,23.637835006000543,2.4550140626279835,-11.485676098407815,-23.139639465649754,-9.231451789319179,8.725920071216153,1.056723060344466,-8.318542859366712,1.404006,0.283799,-1.0,-1.8369701987210297e-16,45.0,26.26804393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-10-01,191441,18.94029947103197,GPU,Nvidia,GRID,K1,Used,US,,,16GB,GDDR3,,akima,True,False,16.0,,,1,1,1,2,21.67151157,24.483620972006516,27.25556016,24.17292564,20.58524286,24.470230900668838,2.7920483760812562,25.052143953667752,2.346602137829396,23.78277428516721,2.2599465183917125,-12.60277618451342,-30.50849309335212,-21.646639909855892,-7.990886481909742,1.189826060017101,-20.36126969911742,0.009813,1.1e-05,-0.8660254037844386,0.5000000000000001,46.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-01,191441,18.70964157,GPU,Nvidia,GRID,K1,Used,US,,,16GB,GDDR3,,akima,False,False,16.0,,,1,1,1,2,18.94029947103197,21.67151157,24.483620972006516,24.53329181,21.81778235,21.698477337679495,2.7717591309963487,24.180039592173085,3.4511137332500623,23.645695669419876,2.5078206669565595,-1.2178154911687056,-23.583028869006874,-23.737744959387097,-14.24590606936732,0.8031491701625446,-20.87506397962948,-1.157132,0.11714,-0.5000000000000004,0.8660254037844384,47.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-12-01,191441,22.7304331,GPU,Nvidia,GRID,K1,Used,US,,,16GB,GDDR3,,akima,False,False,16.0,,,1,1,1,2,18.70964157,18.94029947103197,21.67151157,28.19595357,22.85690199,19.773817537010654,1.647492867650661,23.20943121883975,4.0914279586575315,23.386683937753208,2.850823286464878,21.490478665540792,4.886237522378778,-19.384059689384713,-0.553307224466959,0.40266940645124594,-2.8060875988229395,-1.368644,0.163459,-2.4492935982947064e-16,1.0,48.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
